# Validation Error (pixels): 48.59
timestamp,taskId,targetX,targerY,gazeX,gazeY,mouseX,mouseY
36601.800000000745,1,1434,319,785.1793244190794,516.7825819856076,,
36640.5,1,1434,319,825.739835317314,573.0892407927475,,
36678.800000000745,1,1434,319,739.8503329022633,643.5052161706934,,
36716.70000000112,1,1434,319,790.1521571634959,559.8059792242527,,
36766.60000000149,1,1434,319,850.929312012038,578.0281588271973,,
36818.40000000037,1,1434,319,880.8323428121511,505.8468563798401,,
36868,1,1434,319,901.4866023089537,558.3374247453105,,
36881.10000000149,1,1434,319,,,833,552
36918.5,1,1434,319,890.0825369243099,575.4683789309705,,
36918.70000000112,1,1434,319,,,919,456
36931.300000000745,1,1434,319,,,956,432
36953.800000000745,1,1434,319,889.4735761576999,538.5029905500546,,
36954,1,1434,319,,,1087,379
36964.90000000037,1,1434,319,,,1107,375
36991.40000000037,1,1434,319,955.7619144174395,520.7282582461086,,
36992.90000000037,1,1434,319,,,1244,365
37030,1,1434,319,996.1092626846759,467.3591283417862,,
37030.20000000112,1,1434,319,,,1291,377
37041.40000000037,1,1434,319,,,1298,382
37067.5,1,1434,319,1036.9626198784515,480.31603576317696,,
37117.60000000149,1,1434,319,1034.392071202418,432.18476885434166,,
37167.20000000112,1,1434,319,1053.9657301270513,444.2484117177861,,
37216.70000000112,1,1434,319,1025.7960240109421,388.5522701075999,,
37231.90000000037,1,1434,319,,,1317,374
37247.10000000149,1,1434,319,,,1334,367
37268.10000000149,1,1434,319,1096.0116389157374,424.25871790219645,,
37268.300000000745,1,1434,319,,,1360,359
37280.40000000037,1,1434,319,,,1387,350
37305.300000000745,1,1434,319,1093.36709811363,586.0695398321932,,
37306.800000000745,1,1434,319,,,1405,345
37317.20000000112,1,1434,319,,,1411,343
37342.90000000037,1,1434,319,1195.045300299031,582.2514695197357,,
37343.10000000149,1,1434,319,,,1420,339
37379.5,1,1434,319,1256.5106179576724,492.5863490070185,,
37381.10000000149,1,1434,319,,,1431,334
37391.5,1,1434,319,,,1433,334
37418,1,1434,319,1349.3660024600426,439.1730072681873,,
37418.300000000745,1,1434,319,,,1437,333
37431.800000000745,1,1434,319,,,1439,333
37452.800000000745,1,1434,319,1320.4986214227008,365.7192143873332,,
37453,1,1434,319,,,1439,333
37490.800000000745,1,1434,319,1379.5451937804205,362.9940910654285,,
37498.70000000112,1,1434,319,,,1440,333
37513.800000000745,1,1434,319,,,1440,332
37535.800000000745,1,1434,319,1300.983356805955,368.6031837202393,,
37536,1,1434,319,,,1442,331
37547.10000000149,1,1434,319,,,1442,331
37574.60000000149,1,1434,319,1278.52247734982,441.2119171762871,,
37576.10000000149,1,1434,319,,,1443,330
37586.5,1,1434,319,,,1444,330
37614.300000000745,1,1434,319,1316.4325849443853,383.5218836443609,,
