# Validation Error (pixels): 61.56
timestamp,taskId,targetX,targetY,gazeX,gazeY,mouseX,mouseY
37455.29999999702,1,,,844.7446195527298,615.9135081745065,,
37489.599999997765,1,1269,112,832.1530721135539,550.3115903074388,,
37522.29999999702,1,1269,112,819.5524834410005,489.08579202503,,
37571.39999999851,1,1269,112,808.475821690027,445.6524693073257,,
37621.29999999702,1,1269,112,813.5406539833639,410.51666188071346,,
37672.199999999255,1,1269,112,799.7459773389052,334.09921645873425,,
37721.39999999851,1,1269,112,790.9604339481668,327.69492533469213,,
37739.5,1,1269,112,,,821,593
37753.699999999255,1,1269,112,,,821,582
37773.39999999851,1,1269,112,812.2667259108136,377.70966962678153,,
37773.599999997765,1,1269,112,,,824,564
37789.699999999255,1,1269,112,,,853,503
37806.699999999255,1,1269,112,778.0897764971163,365.80094091511035,,
37806.89999999851,1,1269,112,,,905,435
37821.099999997765,1,1269,112,,,981,349
37839.39999999851,1,1269,112,737.1289712638338,341.2415628101007,,
37841,1,1269,112,,,1081,264
37854.599999997765,1,1269,112,,,1160,209
37872.89999999851,1,1269,112,645.9431548080653,372.03581112799446,,
37873.099999997765,1,1269,112,,,1261,150
37887.79999999702,1,1269,112,,,1313,125
37904.29999999702,1,1269,112,670.7342613942245,343.483352186291,,
37906.29999999702,1,1269,112,,,1324,124
37937.39999999851,1,1269,112,710.6645742974844,319.65746150181496,,
37937.5,1,1269,112,,,1343,124
37969.5,1,1269,112,845.0902895337083,337.31162552897257,,
38000.699999999255,1,1269,112,874.1145913340579,347.99906116016183,,
38031.39999999851,1,1269,112,883.3706516727319,300.1244383092739,,
38062,1,1269,112,861.1699770688942,292.4094687026303,,
38092.699999999255,1,1269,112,839.0412192438323,318.21533590529737,,
38123.29999999702,1,1269,112,974.6406638004947,259.6186014698174,,
38168.39999999851,1,1269,112,994.6440819144223,261.5838691412151,,
38170,1,1269,112,,,1340,124
38180.099999997765,1,1269,112,,,1336,124
38201.599999997765,1,1269,112,1076.174649141939,245.24491242649063,,
38201.79999999702,1,1269,112,,,1323,123
38212.39999999851,1,1269,112,,,1321,123
38233.199999999255,1,1269,112,1208.7748750830372,137.95201051516506,,
38234.699999999255,1,1269,112,,,1312,121
38266.29999999702,1,1269,112,1217.0909286957535,139.7645820189562,,
38266.39999999851,1,1269,112,,,1304,120
38276.599999997765,1,1269,112,,,1302,120
38298.199999999255,1,1269,112,1266.4617709514362,156.36179644470792,,
38299.79999999702,1,1269,112,,,1296,120
38310.099999997765,1,1269,112,,,1292,120
38331.599999997765,1,1269,112,1272.8808660887796,188.96534648893004,,
38331.79999999702,1,1269,112,,,1289,120
38342.29999999702,1,1269,112,,,1286,120
38364.89999999851,1,1269,112,1303.117500185234,205.4597578691648,,
38371.699999999255,1,1269,112,,,1282,119
38386.89999999851,1,1269,112,,,1281,119
38404.099999997765,1,1269,112,1383.7932640690349,183.8704475362135,,
38437,1,1269,112,1449.1015759297263,128.4250262749258,,
38438.39999999851,1,1269,112,,,1282,119
38471.699999999255,1,1269,112,1468.926122342015,98.39047764011183,,
38521.199999999255,1,1269,112,1367.0032130501802,187.0790680389793,,
38571.39999999851,1,1269,112,1404.3947798454287,184.31442190577596,,
38623.099999997765,2,1269,112,1338.8800310191305,194.92695852089076,,
38656.29999999702,2,1027,122,1284.5345633816924,206.46787713196363,,
38689.39999999851,2,1027,122,1321.0100358204106,161.7988500112376,,
38722.599999997765,2,1027,122,1264.0806506455983,222.0064188503107,,
38755.699999999255,2,1027,122,1215.0725425866262,273.74833836433004,,
38788.39999999851,2,1027,122,1224.1063339851853,209.88174579506995,,
38836.5,2,1027,122,1208.3887042489232,206.07573874024408,,
38868.099999997765,2,1027,122,1263.9463351262261,230.53026783224573,,
38900.099999997765,2,1027,122,1290.1934210464103,198.46896731378166,,
38931,2,1027,122,1240.4421034404281,243.5769997601051,,
38943.599999997765,2,1027,122,,,1271,118
38959.79999999702,2,1027,122,1194.2281681358556,261.7127576234381,,
38960.099999997765,2,1027,122,,,1249,118
38970.5,2,1027,122,,,1237,118
38992.5,2,1027,122,1151.942164918088,283.3449771752327,,
38994.199999999255,2,1027,122,,,1200,121
39004.5,2,1027,122,,,1165,123
39026.699999999255,2,1027,122,1093.302086146451,259.57398352827505,,
39027,2,1027,122,,,1139,125
39037.89999999851,2,1027,122,,,1114,125
