taskId,gazeReactionTime_ms,gazeAimLatency_ms,syncRate,gazeAimLead_ms
5,1031.5999999977648,-860.3999999985099,0.0,-860.3999999985099
8,1020.8999999985099,-775.8000000007451,0.25,-775.8000000007451
9,1085.0,-762.1999999992549,0.0,-762.1999999992549
1,811.1000000014901,-512.6999999992549,0.0,-512.6999999992549
7,615.9000000022352,-272.1000000014901,0.0,-272.1000000014901
3,442.0,-239.5,0.0,-239.5
2,,,0.0,
4,314.0,,0.0,
6,,,0.0,
